file_name,student_id,course_name,attendance_sheet_id,page,row,cell_index,x,y
2395376/CNG213_2395376_AS001_p1_r1_c3.png,2395376,CNG213,AS001,1,1,3,449,222
2395376/CNG213_2395376_AS001_p1_r1_c4.png,2395376,CNG213,AS001,1,1,4,596,222
2395376/CNG213_2395376_AS001_p1_r1_c5.png,2395376,CNG213,AS001,1,1,5,743,222
2395376/CNG213_2395376_AS001_p1_r1_c6.png,2395376,CNG213,AS001,1,1,6,890,222
2395376/CNG213_2395376_AS001_p1_r1_c7.png,2395376,CNG213,AS001,1,1,7,1037,222
2794026/CNG213_2794026_AS001_p1_r2_c3.png,2794026,CNG213,AS001,1,2,3,449,276
2794026/CNG213_2794026_AS001_p1_r2_c4.png,2794026,CNG213,AS001,1,2,4,596,276
2794026/CNG213_2794026_AS001_p1_r2_c5.png,2794026,CNG213,AS001,1,2,5,743,276
2794026/CNG213_2794026_AS001_p1_r2_c6.png,2794026,CNG213,AS001,1,2,6,890,276
2794026/CNG213_2794026_AS001_p1_r2_c7.png,2794026,CNG213,AS001,1,2,7,1037,276
2013389/CNG213_2013389_AS001_p1_r3_c3.png,2013389,CNG213,AS001,1,3,3,449,330
2013389/CNG213_2013389_AS001_p1_r3_c4.png,2013389,CNG213,AS001,1,3,4,596,330
2013389/CNG213_2013389_AS001_p1_r3_c5.png,2013389,CNG213,AS001,1,3,5,743,330
2013389/CNG213_2013389_AS001_p1_r3_c6.png,2013389,CNG213,AS001,1,3,6,890,330
2013389/CNG213_2013389_AS001_p1_r3_c7.png,2013389,CNG213,AS001,1,3,7,1037,330
2407816/CNG213_2407816_AS001_p1_r4_c3.png,2407816,CNG213,AS001,1,4,3,449,384
2407816/CNG213_2407816_AS001_p1_r4_c4.png,2407816,CNG213,AS001,1,4,4,596,384
2407816/CNG213_2407816_AS001_p1_r4_c5.png,2407816,CNG213,AS001,1,4,5,743,384
2407816/CNG213_2407816_AS001_p1_r4_c6.png,2407816,CNG213,AS001,1,4,6,890,384
2407816/CNG213_2407816_AS001_p1_r4_c7.png,2407816,CNG213,AS001,1,4,7,1037,384
2928327/CNG213_2928327_AS001_p1_r5_c3.png,2928327,CNG213,AS001,1,5,3,449,438
2928327/CNG213_2928327_AS001_p1_r5_c4.png,2928327,CNG213,AS001,1,5,4,596,438
2928327/CNG213_2928327_AS001_p1_r5_c5.png,2928327,CNG213,AS001,1,5,5,743,438
2928327/CNG213_2928327_AS001_p1_r5_c6.png,2928327,CNG213,AS001,1,5,6,890,438
2928327/CNG213_2928327_AS001_p1_r5_c7.png,2928327,CNG213,AS001,1,5,7,1037,438
2161559/CNG213_2161559_AS001_p1_r6_c3.png,2161559,CNG213,AS001,1,6,3,449,492
2161559/CNG213_2161559_AS001_p1_r6_c4.png,2161559,CNG213,AS001,1,6,4,596,492
2161559/CNG213_2161559_AS001_p1_r6_c5.png,2161559,CNG213,AS001,1,6,5,743,492
2161559/CNG213_2161559_AS001_p1_r6_c6.png,2161559,CNG213,AS001,1,6,6,890,492
2161559/CNG213_2161559_AS001_p1_r6_c7.png,2161559,CNG213,AS001,1,6,7,1037,492
2849696/CNG213_2849696_AS001_p1_r7_c3.png,2849696,CNG213,AS001,1,7,3,449,547
2849696/CNG213_2849696_AS001_p1_r7_c4.png,2849696,CNG213,AS001,1,7,4,596,547
2849696/CNG213_2849696_AS001_p1_r7_c5.png,2849696,CNG213,AS001,1,7,5,743,547
2849696/CNG213_2849696_AS001_p1_r7_c6.png,2849696,CNG213,AS001,1,7,6,890,547
2849696/CNG213_2849696_AS001_p1_r7_c7.png,2849696,CNG213,AS001,1,7,7,1037,547
2184959/CNG213_2184959_AS001_p1_r8_c3.png,2184959,CNG213,AS001,1,8,3,449,601
2184959/CNG213_2184959_AS001_p1_r8_c4.png,2184959,CNG213,AS001,1,8,4,596,601
2184959/CNG213_2184959_AS001_p1_r8_c5.png,2184959,CNG213,AS001,1,8,5,743,601
2184959/CNG213_2184959_AS001_p1_r8_c6.png,2184959,CNG213,AS001,1,8,6,890,601
2184959/CNG213_2184959_AS001_p1_r8_c7.png,2184959,CNG213,AS001,1,8,7,1037,601
2255341/CNG213_2255341_AS001_p1_r9_c3.png,2255341,CNG213,AS001,1,9,3,449,655
2255341/CNG213_2255341_AS001_p1_r9_c4.png,2255341,CNG213,AS001,1,9,4,596,655
2255341/CNG213_2255341_AS001_p1_r9_c5.png,2255341,CNG213,AS001,1,9,5,743,655
2255341/CNG213_2255341_AS001_p1_r9_c6.png,2255341,CNG213,AS001,1,9,6,890,655
2255341/CNG213_2255341_AS001_p1_r9_c7.png,2255341,CNG213,AS001,1,9,7,1037,655
2166978/CNG213_2166978_AS001_p1_r10_c3.png,2166978,CNG213,AS001,1,10,3,449,709
2166978/CNG213_2166978_AS001_p1_r10_c4.png,2166978,CNG213,AS001,1,10,4,596,709
2166978/CNG213_2166978_AS001_p1_r10_c5.png,2166978,CNG213,AS001,1,10,5,743,709
2166978/CNG213_2166978_AS001_p1_r10_c6.png,2166978,CNG213,AS001,1,10,6,890,709
2166978/CNG213_2166978_AS001_p1_r10_c7.png,2166978,CNG213,AS001,1,10,7,1037,709
2305641/CNG213_2305641_AS001_p1_r11_c3.png,2305641,CNG213,AS001,1,11,3,449,763
2305641/CNG213_2305641_AS001_p1_r11_c4.png,2305641,CNG213,AS001,1,11,4,596,763
2305641/CNG213_2305641_AS001_p1_r11_c5.png,2305641,CNG213,AS001,1,11,5,743,763
2305641/CNG213_2305641_AS001_p1_r11_c6.png,2305641,CNG213,AS001,1,11,6,890,763
